"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Link","LCSC"
"BT1","1","~","","","","RuffLabs:MY-AA-04_BT1A","",""
"BT2","1","~","","","","RuffLabs:MY-AA-04_BT1B","",""
"C1","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/product-detail/C45783.html","C45783"
"C2,C5","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/product-detail/C49678.html","C49678"
"C3","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/product-detail/C15850.html","C15850"
"C4","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/product-detail/C28323.html","C28323"
"C6","1","100uF","","","","Capacitor_SMD:C_1206_3216Metric","https://www.lcsc.com/product-detail/C15008.html","C15008"
"D1,D2","2","Yellow","","","","Diode_SMD:D_0805_2012Metric","https://www.lcsc.com/product-detail/C2296.html","C2296"
"D3,D12","2","Green","","","","Diode_SMD:D_0805_2012Metric","https://www.lcsc.com/product-detail/C2296.html","C2297"
"D4,D5,D6,D7,D8,D9,D10,D11","8","2812B","","","","RuffLabs:D_SMD5050-4P_XL-5050RGBC-2812B","https://www.lcsc.com/product-detail/C2843785.html","C2843785"
"F1","1","Fuse","","","","Fuse:Fuse_1206_3216Metric","https://www.lcsc.com/product-detail/C261957.html","C261957"
"J1","1","UART","DNP","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"J2","1","USB_C_Receptacle_USB2.0","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.lcsc.com/product-detail/C2988369.html","C2988369"
"J3","1","JTAG","DNP","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"J4","1","DISPLAY","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","",""
"R1","1","10k","","","","Resistor_SMD:R_0805_2012Metric","https://www.lcsc.com/product-detail/C17414.html","C17414"
"R2,R3","2","5.1K","","","","Resistor_SMD:R_0805_2012Metric","https://www.lcsc.com/product-detail/C27834.html","C27834"
"R4,R6,R7","3","1K","","","","Resistor_SMD:R_0805_2012Metric","https://www.lcsc.com/product-detail/C17513.html","C17513"
"R5,R8","2","2K","","","","Resistor_SMD:R_0805_2012Metric","https://www.lcsc.com/product-detail/C17604.html","C17604"
"SW1,SW2,SW3,SW4,SW6,SW7","6","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","",""
"SW5","1","POWER","","","","Button_Switch_SMD:SW_SPDT_PCM12","https://www.lcsc.com/product-detail/C431541.html","C431541"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_D1.5mm","",""
"TP5,TP6,TP7,TP8","4","TestPoint","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","",""
"U1","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.lcsc.com/product-detail/C2827654.html","C2827654"
"U2","1","ESP32-S3-WROOM-1","","","","PCM_Espressif:ESP32-S3-WROOM-1","",""
"U3","1","ME4054BM5G-N","","","","Package_TO_SOT_SMD:TSOT-23-5","https://www.lcsc.com/product-detail/C478383.html","C478383"
"U4","1","TLV1117LV-33","","","","Package_TO_SOT_SMD:SOT-223","https://www.lcsc.com/product-detail/C15578.html","C15578"
"X1","1","Simple_Addon_v2","DNP","","","Simple_Addon_v2:Simple_Addon_v2-BADGE-2x3","",""
