Designator,Mid X,Mid Y,Rotation,Layer
BT1_2,166.64,-125.003359,0.0,bottom
BT1,167.507003,-125.170088,0.0,bottom
BT2,167.515372,-125.176218,0.0,bottom
C1,177.375,-51.175,270.0,bottom
C2,179.425,-51.175,270.0,bottom
C3,186.725,-54.025,180.0,bottom
C4,193.45,-91.3375,0.0,bottom
C5,151.225,-54.25,180.0,bottom
C6,200.6375,-105.975,180.0,bottom
C7,195.8125,-105.725,0.0,bottom
D1,135.825,-62.325,315.0,bottom
D10,193.15,-83.35,0.0,top
D11,193.15,-73.35,0.0,top
D12,189.15,-63.35,0.0,top
D13,189.0125,-115.675,90.0,bottom
D2,197.075,-95.6875,90.0,bottom
D3,156.57,-53.85,0.0,top
D4,176.57,-54.0,0.0,top
D5,145.4,-63.35,0.0,top
D6,141.4,-73.35,0.0,top
D7,141.4,-83.35,0.0,top
D8,145.4,-93.35,0.0,top
D9,189.15,-93.35,0.0,top
F1,187.4,-101.425,270.0,bottom
J2,204.0,-84.0,255.0,bottom
J4,167.265,-101.700016,90.0,top
J5,135.375,-86.865,180.0,top
R1,182.85,-53.975,180.0,bottom
R10,191.9,-114.725,0.0,bottom
R2,205.682324,-90.278518,345.0,bottom
R3,202.317676,-77.721482,165.0,bottom
R4,138.8,-66.375,0.0,bottom
R5,197.075,-92.2375,270.0,bottom
R6,147.65,-54.25,180.0,bottom
R7,194.575,-97.9,270.0,bottom
R8,154.275,-49.675,0.0,bottom
R9,179.325,-56.275,180.0,bottom
SW1,186.75,-57.875,0.0,bottom
SW2,149.0,-66.525,0.0,bottom
SW3,147.75,-111.450016,0.0,top
SW4,186.75,-111.450016,0.0,top
SW5,207.27,-102.25,270.0,bottom
SW6,173.75,-116.450016,0.0,top
SW7,160.75,-116.450016,0.0,top
U1,193.955,-85.71,0.0,bottom
U2,166.475,-57.175,0.0,bottom
U3,142.52352751710703,-56.315484482892955,135.0,bottom
U4,193.475,-94.0875,0.0,bottom
U5,197.2875,-111.5,270.0,bottom
